Company,Former / alternate names,Brief Description,Website,B2B/B2C,Company focus,Protein category,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ State/Province (Non-U.S.),HQ City,Founders,Parent company,Company email,Link to parent company's record,Link to subsidiary/brand
Allium Bio,,Singapore startup co-culturing microalgae and mycelium to create functional ingredients for use in a range of plant-based foods. ,https://www.alliumbio.com/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,,,"Mycelium,Algae,Microalgae",Asia Pacific,Singapore,,,Singapore,"Jon Ho, Albertus Sarwono",,,,
AlProtein,,"AlProtein produces organic protein ingredients from microalgae and floating plants in deserts, leveraging the power of AI in the process.",https://www.alprotein.tech/,"B2C,B2B",Ingredients and inputs,Precision fermentation,"Bioprocess design,Ingredient optimization,End product formulation and manufacturing","Oils and fats,Cheese",,"Microalgae,Duckweed,RuBisCO Protein ","Africa/Middle East,United States and Canada,Europe",Egypt,,,Giza,Omar Zaghloul and Mohamed AlMoatasm,,,,
AQUA,Aqua Cultured Foods,U.S.-based company that produces whole-muscle cut sushi-quality seafood alternatives using microbial fermentation ,https://www.aquaculturedfoods.com/,B2C,Seafood,Biomass fermentation,End product formulation and manufacturing,Whole muscle meat/seafood,,,United States and Canada,United States,Illinois ,,Chicago,"Brittany Chibe, Anne Palermo",,,,
Aquafarmtory,,,https://www.aquafarmtory.com/en,B2B,"Dairy,Ingredients and inputs",Precision fermentation,"Ingredient optimization,Bioprocess design,Target molecule selection","Ingredients,Other dairy",Other,"Whey,Casein",Asia Pacific,Mainland China,,,"Suzhou, Jiangsu",,,,,
Ark Bio,,"Brazilian precision fermentation company offering new functional protein ingredients produced by fermenting agricultural co-products, enabling a circular economy.",https://arkbio.com.br/,B2B,Ingredients and inputs,Precision fermentation,Host strain development,,,,Latin America,Brazil,,,Florianópolis,Marília Knychala; Jaciane Ienczak; Débora Trichez,,,,
Arkeon Biotechnologies,,Austria-based company using gas fermentation to produce protein. ,https://arkeon.bio/,B2B,Ingredients and inputs,Biomass fermentation,"Bioprocess design,Feedstocks,Ingredient optimization",Ingredients,,CO2,Europe,Austria,,,Tulln,"Gregor Tegl, Günther Bochmann, and Simon Rittmann ",,info@arkeon.bio,,
Arta Bioanalytics,,Bioinformatics and data analysis support for cellular agriculture,https://www.artabioanalytics.com/,B2C,Bioprocessing infrastructure and equipment,Precision fermentation,"Bioprocess design,Cell culture media,Ingredient optimization,Cell line development",,,,Australia/New Zealand,Australia,,,Sydney,Alex Ward,,,,
Better Dairy,,UK-based company producing animal-free dairy products using precision fermentation.,https://betterdairy.co.uk/,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,"Milk,Cheese,Other dairy",,,Europe,United Kingdom,,,London,Jevan Nagarajah and Christopher Reynolds ,,info@betterdairy.co.uk,,
betterland foods,,U.S.-based company that develops and manufactures plant-based beverages and snack bars with animal-free protein that is made through precision fermentation. ,https://www.betterlandfoods.com/,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,Milk,,,United States and Canada,United States,California,,Goleta,Lizanne Falsetto,,,,
BioBrew,,"BioBrew, division of ZX Ventures, is a technology platform for precision fermentation at large, commercial scale. Biobrew applies centuries of large-scale fermentation and downstream processing expertise to purpose-built capability for the biotechnology of food and sustainable bio-products, the next evolution of brewing.",https://biobrew.com/,B2B,Bioprocessing infrastructure and equipment,Precision fermentation,"Bioprocess design,Host strain development,Target molecule selection",,,,"United States and Canada,Europe",United States,New York ,,New York ,Patrick O'Riordan,ZX Ventures (Innovation arm of AB InBev),,,
BioRaptor,,"BioRaptor is a developer of an operating system for biotech and biopharma firms, intended to empower scientists and biotech firms with the power of artificial intelligence. The platform enables scientists to leverage scientific data and deep insights to design better experiments, learn from experiments and understand how to accelerate outcomes, enabling scientists and biotech firms with rich data, enhanced productivity and valuable insights.",https://www.bioraptor.ai/industries/food-tech,B2B,Bioprocessing infrastructure and equipment,"Cultivated,Precision fermentation",Bioprocess design,,,,Africa/Middle East,Israel,,,Ramat Gan,"Ori Zakin, Dr. Yaron David",,hi@bioraptor.ai,,
Blue Canopy,,Chinese startup aiming to be a leader in producing alt-protein ingredients using biomass fermentation.,http://bluecanopy.cn/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,,,Asia Pacific,Mainland China,,,Zhuhai City,Chenfeng Lu,,luchenfeng@bluecanopy.cn,,
Blue Mountains Creamery,,Australia-based company making plant-based cheese.,https://www.bluemountainscreamery.com/our-products,B2C,Dairy,"Plant-based,Traditional fermentation",End product formulation and manufacturing,Cheese,,Cashew,Australia/New Zealand,Australia,,,Hazelbrook,,,,,
Bolder Foods,,Combined fermentation and plant-based technologies to create biomimicked dairy products. Chizou is their plant-based cheese brand. ,https://www.bolderfoods.be/,B2B,"Dairy,Ingredients and inputs","Biomass fermentation,Plant-based","End product formulation and manufacturing,Bioprocess design,Ingredient optimization","Cheese,Ingredients",,,Europe,Belgium,,,Brussels,Michael Minch-Dixon and Ilana Taub,,weneed@bolderfoods.be,,Chizou
Bon Vivant,,"French biotechnology company that uses precision fermentation to produce real dairy products, accessible to everyone",https://bonvivant-food.com/en/,B2B,Dairy,Precision fermentation,"End product formulation and manufacturing,Bioprocess design","Milk,Cheese,Other dairy",,,Europe,France,,,Lyon,Stéphane Mac Millan Gay and Helene Briand,,,,
Bond Pet Foods,,Microbially produced animal proteins for pet food. ,https://www.bondpets.com/,B2C,Pet food,Precision fermentation,End product formulation and manufacturing,,,Pea,United States and Canada,United States,Colorado,,Boulder," Rich Kelleman, Pernilla Turner Audibert",,service@bondpets.com,,
Bosque Foods,,Germany-based company producing minimally processed whole-cut meat and fish alternatives grown naturally from fungal mycelium.,https://www.bosquefoods.com,B2C,"Meat,Seafood","Precision fermentation,Biomass fermentation",End product formulation and manufacturing,Whole muscle meat/seafood,"Chicken,Pork,Other fish,Beef/veal","Mycelium,Fungi",Europe,Germany,,Berlin,Berlin,Isabella Iglesias-Musachio,,hello@bosquefoods.com,,
Boston Bioprocess,Boston Bioworks,U.S.-based company providing fermentation services and equipment.,https://bostonbioprocess.com/,B2B,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing",Precision fermentation,Bioprocess design,Other,,,United States and Canada,United States,Illinois ,,Champaign,,,,,
Brevel,,Israel-based provider of protein-rich microalgae with a full amino acid profile.,https://brevel.co.il/,B2B,Ingredients and inputs,Biomass fermentation,"Bioprocess design,Ingredient optimization",Ingredients,,"Algae,Microalgae",Africa/Middle East,Israel,,,Kiryat Gat,"Yonatan Golan, Ido Golan, and Matan Golan",,info@brevel.co.il,,
Calidris Bio,,Microbial protein production by fermentation utilising renewable resources. The product is a high-protein ingredient with a full amino acid profile.,https://calidrisbio.com/en/,B2B,"Ingredients and inputs,Pet food",Biomass fermentation,"Bioprocess design,Ingredient optimization",Ingredients,,,Europe,Belgium,,,Antwerp,"Lieve Hoflack, Johan Gheeraert, and Brecht Vanlerberghe",,info@calidrisbio.com,,
Catchfree,,Swiss startup making a shrimp alternative based on microalgae and other plant proteins.,https://www.catchfree.ch/,B2B,Seafood,"Plant-based,Biomass fermentation",Scaffolding and structure,Whole muscle meat/seafood,Shrimp,Microalgae,Europe,Switzerland,,,,Eduard Müller and Severin Eder,,info@catchfree.ch,,
Cauldron Ferm,,Australia-based company producing high-value ingredients via precision fermentation. ,https://www.cauldronferm.com/,,Ingredients and inputs,Precision fermentation,Ingredient optimization,,,,Australia/New Zealand,Australia,,,New South Wales,Michele Stansfield,,,,
CellX,,China-based company that focuses on scaling up cultivated meat and fermentation derived production in China and serving global markets.,https://cellx.co/en,B2C,"Meat,Seafood","Cultivated,Fermentation-derived","Cell line development,Cell culture media,End product formulation and manufacturing",,,,Asia Pacific,Mainland China,,,Shanghai,Ziliang Yang,, info@cellx.co,,
Change Foods,,Protein and fat production for dairy (starting with cheese) using precision fermentation. ,https://www.changefoods.com/,B2C,Dairy,Precision fermentation,"End product formulation and manufacturing,Target molecule selection,Ingredient optimization","Cheese,Other dairy,Ingredients",,,"United States and Canada,Asia Pacific",United States,California,,San Francisco,David Bucca,,,,
Changing Bio,Shanghai Changjin Biotechnology,A Shanghai-based food-tech company producing functional dairy ingredients and yeast protein. ,http://chgbio.com/,B2B,Dairy,"Precision fermentation,Biomass fermentation","End product formulation and manufacturing,Ingredient optimization",Other dairy,,Yeast,Asia Pacific,Mainland China,,,Shanghai,Bin Luo,,,,
Chunk Foods,,"Makes clean label, plant-based whole cut products. ",https://www.chunkfoods.com/,B2C,Meat,"Traditional fermentation,Plant-based",End product formulation and manufacturing,Whole muscle meat/seafood,,,"United States and Canada,Latin America,Africa/Middle East",Israel,,,Tel Aviv,Amos Golan,,,,
Circe,,Fermentation of dairy triglycerides and synthetic polymers (spinout of the Wyss Institute),https://www.circebioscience.com/,B2C,Ingredients and inputs,Precision fermentation,Ingredient optimization,Oils and fats,,,United States and Canada,United States,Massachusetts,,Boston,"Shannon Nangle, Marika Ziesack, and Kevin McDonough",,,,
Clean Food Group,,UK-based startup using biomass fermentation to create alternatives to conventional oils and fats.,https://cleanfood.group/,B2B,"Ingredients and inputs,Bioprocessing infrastructure and equipment",Biomass fermentation,"Bioprocess design,Ingredient optimization",Oils and fats,,Yeast,Europe,United Kingdom,,,,"Alex Neves, Chris Chuck, and Tom Ellen",,,,
Cocojune Products,,US-based producer of coconut-based probiotic yogurt. ,https://www.cocojune.co/,B2C,Dairy,"Plant-based,Traditional fermentation",End product formulation and manufacturing,Other dairy,,Coconut,United States and Canada,United States,New York ,,Greene,,,,,
Coolhaus,,"US-based producer of a wide range of conventional, plant-based, and animal-free ice creams.",https://cool.haus/,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,Other dairy,,"Whey,Rice",United States and Canada,United States,California,,Culver City,,The Urgent Company,,The Urgent Company ,
Cultivated Biosciences,,"Startup developing a fat ingredient from oleaginous yeast, which offers the creaminess needed for plant-based dairy.",https://www.cultivated.bio/,B2B,"Dairy,Ingredients and inputs",Precision fermentation,Ingredient optimization,Oils and fats,,Yeast,Europe,Switzerland,,,Zurich,Tomas Turner and Dimitri Zogg,,hello@cultivated.bio,,
Cx Bio,Connectomix Bio,"Luxembourg-based company developing a method to transform agricultural waste into lipids for meat alternatives. 	",https://www.connectomix.bio/,B2B,Ingredients and inputs,"Plant-based,Biomass fermentation","Ingredient optimization,Bioprocess design,Feedstocks","Ingredients,Oils and fats",,,Europe,Luxembourg,,,Bertrange,Milena Ivanisevic,,,,
DairyX,,DairyX is a food tech startup that aims to produce animal-free dairy products by producing functional milk proteins in yeast. ,https://dairyx.com/,B2B,Dairy,Precision fermentation,End product formulation and manufacturing,Ingredients,,"Yeast,Casein",Africa/Middle East,Israel,,,Or Yehuda,Dr. Arik Ryvkin,,,,
Daisy Lab,,New Zealand-based company utilizing precision fermentation to produce dairy proteins,www.daisylab.co.nz,B2C,Dairy,Precision fermentation,"End product formulation and manufacturing,Ingredient optimization",Other dairy,,,Asia Pacific,New Zealand,,,Auckland,"Emily Mclsaac, Irina Miller, Nikki Freed",,,,
Darë Vegan Cheese,,US-based producer of traditionally crafted plant-based cheese. ,https://www.darevegancheese.com/,B2C,Dairy,"Plant-based,Traditional fermentation",End product formulation and manufacturing,"Cheese,Other dairy",,Cashew,United States and Canada,United States,North Carolina,,Weaverville,Gwendolyn Dare Hageman,,darevegancheese@gmail.com,,
De Novo Food Labs,,De Novo Dairy produces milk proteins via precision fermentation. ,https://denovodairy.com/,B2C,Dairy,Precision fermentation,Ingredient optimization,Milk,,,"Africa/Middle East,United States and Canada",South Africa,,,Cape Town,Jean Louwrens and Joni Symon,,,,
Done Properly,,"Chile-based company that develops bioprocessed ingredients using biomass fermentation, including a protein source based on mycelium under the brand ""Mico"" and a natural flavoring condiment based on umami molecules under the brand ""Rise""",https://www.doneproperly.co,B2B,"Ingredients and inputs,Meat",Biomass fermentation,Ingredient optimization,"Ground meat/seafood,Ingredients",,"Fungi,Mycelium,Mycoprotein",Latin America,Chile,,,Macul,Eduardo Zavala Pulgar,,,,
Dynacyte Biosciences,,"Singapore-based creator of a small bioreactor, the Eggsbee, for home and research applications of cell growth. ",https://www.dynacyte.com/,B2B,Bioprocessing infrastructure and equipment,"Cultivated,Fermentation-derived",Bioprocess design,,,,Asia Pacific,Singapore,,,Singapore,Alan She,,hello@dynacyte.com,,
econutri,,Austria-based using biomass fermentation to transform CO2 into protein.,https://econutri.com/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,,CO2,Europe,Austria,,,Graz,"Prof. Dr. Helmut Schwab, Verena Schwab, and Dr. Stefan Zopf",,info@econutri.com,,
Eden Brew,,Australia-based  startup producing milk proteins via precision fermentation. ,https://www.edenbrew.com.au/,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,"Milk,Cheese,Other dairy",,,Australia/New Zealand,Australia,,,Sydney,Jim Fader,,,,
Edonia,,"French startup making protein ingredients for plant-based foods, using microalgae.",https://www.edonia.com/,B2C,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,Beef/veal,Microalgae,Europe,France,,,"Palaiseau, Île-de-France",,,hugo@edonia.com,,
Eggmented Reality,,"Eggmented Reality’s vegan fermented protein is highly soluble, tasteless, and transparent, making it easy to integrate into any food or drink. With robust stability and rich in essential amino acids, it’s the ideal choice for seamless, nutritious fortification.",https://eggmented.com/,B2C,Ingredients and inputs,Precision fermentation,End product formulation and manufacturing,Eggs,,,Africa/Middle East,Israel,,,Qiryat Shemona,"Itamar Yadid, Itai Bloch, and Jon Rathauser",,,,
Enifer,eniferBio,"Finland-based company producing high-protein and cost-competitive mycoprotein ingredients for use in aquafeed, pet food and food applications.",https://www.eniferbio.fi/,B2B,Ingredients and inputs,Biomass fermentation,"Bioprocess design,Ingredient optimization,Host strain development,Feedstocks",Ingredients,,Mycoprotein,Europe,Finland,,,Espoo,"Simo Ellilä, Joosu Kuivanen, Heikki Keskitalo, Anssi Rantasalo, and Ville Pihlajaniemi",,info@enifer.com,,
ENOUGH,3F Bio,A B2B ingredient startup working on a zero waste mycoprotein production process for sustainable protein. ENOUGH grows ABUNDA mycoprotein through a zero-waste fermentation process. ,https://www.enough-food.com/,B2B,"Ingredients and inputs,Contract manufacturing/processing,Food processing infrastructure and equipment",Biomass fermentation,"Bioprocess design,Ingredient optimization,Feedstocks",Ingredients,,Mycoprotein,Europe,Scotland,,,Glasgow,"Craig Johnson, David Ritchie, and Jim Laird",,info@enough-food.com,,
Epoca,,US-based producer of probiotic plant-based dairy beverage made from almond milk.,https://www.winsoonepoca.com/,B2C,Dairy,"Plant-based,Traditional fermentation",End product formulation and manufacturing,Milk,,Almond,United States and Canada,United States,California,,South Gate,,"Win Soon, Inc. DBA Epoca",,,
Ergo Bioscience ,,"Biotech startup that uses plant cell precision fermentation to produce casein and myoglobin for use in plant-based meat and dairy. 
",https://ergofoods.com/,B2B,Ingredients and inputs,Precision fermentation,"Bioprocess design,Cell line development",Ingredients,,Casein,"Latin America,United States and Canada",United States,Delaware,,Wilmington ," Alejandro Barbarini, Augusto Desuque, Maria Laura Garcia, and Eduardo Peña ",,ergo@ergofoods.com,,
ERIDIA,,"Scale-up, engineering and project execution service provider for all players leveraging cellular agriculture and fermentation in the food industry.",https://eridiabio.com/,B2B,Bioprocessing infrastructure and equipment,"Cultivated,Biomass fermentation,Precision fermentation",Bioprocess design,,,,Europe,Austria,,,Vienna,,Bühler AG & ZETA GmbH (Joint Venture),,Bühler,
Esencia Foods,,"Building alternative meat, fish and seafood products based on mushroom mycelium.",www.esenciafoods.co/,"B2C,B2B",Seafood,Biomass fermentation,"Scaffolding and structure,Bioprocess design",Whole muscle meat/seafood,Other fish,Mycelium,Europe,Germany,,,Berlin,Hendrik Kaye und Bruno Scocozza,,hello@esenciafoods.co,,
Essential,,"Company with bases in Ethiopia and Kenya using fermentation to create climate-resilient protein production that is affordable, accessible, and sustainable and yields protein that can be integrated into products to prevent and treat malnutrition.",https://www.essentialimpact.org/,B2B,"Ingredients and inputs,Contract manufacturing/processing,Bioprocessing infrastructure and equipment",Biomass fermentation,"Ingredient optimization,End product formulation and manufacturing,Bioprocess design",,,,Africa/Middle East,Ethiopia,,,,,,,,
Eternal,Kernel MycoFoods,Company commercializing a mycoprotein ingredient made from the fungus Fusarium venenatum.,https://www.eternal.bio/,B2B,Ingredients and inputs,Biomass fermentation,"End product formulation and manufacturing,Ingredient optimization,Bioprocess design",Ingredients,,Fungi,"Europe,Latin America",United Kingdom,,,London,"Horacio Acerbo, Lucas Gago, and Miguel Neumann",,hello@eternal.bio,,
EVERY,The EVERY Company,Produces egg proteins using a precision fermentation platform. ,https://every.com/,"B2C,B2B","Eggs,Ingredients and inputs",Precision fermentation,"End product formulation and manufacturing,Ingredient optimization","Eggs,Other",,Yeast,United States and Canada,United States,California,,South San Francisco,"Arturo Elizondo, David Anchel",,,,
Exocule,,Intelligent data infrastructure for the precision fermentation industry ,exocule.com,B2B,Bioprocessing infrastructure and equipment,Precision fermentation,End product formulation and manufacturing,,,,"Australia/New Zealand,United States and Canada,Europe",New Zealand,,,,"Jacob Manning, Abbe Hyde",,,,
Farmless,,"Netherlands-based company using fermentation to produce low-cost proteins using a production process that isn’t reliant on sugar but rather on a liquid feedstock made with CO2, hydrogen, and renewable energy.",https://farmless.com/,B2B,Ingredients and inputs,Biomass fermentation,"Bioprocess design,Ingredient optimization,Feedstocks",Ingredients,,CO2,Europe,Netherlands,,,Amsterdam,Adnan Oner,,,,
FERM FOOD,,Danish producer of lacto fermented plant protein for the food industry.,https://ferm-food.com/,B2B,Ingredients and inputs,"Plant-based,Fermentation-derived",Ingredient optimization,Ingredients,,"Fava bean,Mushrooms,Seaweed,Beetroot ,Rye,Oat,Rapeseed",Europe,Denmark,,,Bække,Jens Legarth,Fermentationexperts,,,
Fermaggio,,Plant-based cheese company using traditional fermentation.,https://www.fermaggio.it/,"B2B,B2C",Dairy,"Plant-based,Traditional fermentation",End product formulation and manufacturing,Cheese,,"Cashew,Almond",Europe,Italy,,Rome,Cave,Manfredi and Timoteo Rondina,,info@fermaggio.it,,
Fermify,,"Austrian precision fermentation company providing an automated production platform for animal-free casein production, using a continuous bioprocess.",https://www.fermify.org/,B2C,"Dairy,Bioprocessing infrastructure and equipment",Precision fermentation,Bioprocess design,Milk,,Casein,Europe,Austria,,,Vienna,Eva Sommer and Christoph Herwig,,hello@fermify.org,,
Fermtech,,Oxford-based precision fermentation technology company improving yields and reducing costs of protein production. ,www.fermtech.co.uk,B2B,Ingredients and inputs,Precision fermentation,Ingredient optimization,Ingredients,,,Europe,United Kingdom,,,Oxford,Andy Clayton,,andy@fermtech.co.uk,,
Final Foods,,"Final Foods makes plant-based meat products, including burgers, crumbed meats, and whole cuts,",https://www.finalfoods.com,"B2C,B2B","Food processing infrastructure and equipment,Meat",Precision fermentation,End product formulation and manufacturing,"Whole muscle meat/seafood,Other meat/seafood,Ground meat/seafood",Beef/veal,Soy,United States and Canada,United States,California,,San Mateo,"Marco Graziano, Julian Ramirez",,info@finalfoods.com,,
Formo,,Startup working on producing milk proteins for dairy products with microbes.,https://formo.bio/,B2C,Dairy,Precision fermentation,"Target molecule selection,End product formulation and manufacturing",Cheese,,Fungi,Europe,Germany,,,Berlin,Raffael Wohlgensinger,,hello@formo.bio,,
FUNKI,Funki Foods,Estonian producer of mycoprotein-based meat alternative. ,https://www.funki.ee/,B2C,Meat,"Plant-based,Biomass fermentation",End product formulation and manufacturing,"Other meat/seafood,Whole muscle meat/seafood",,"Mycoprotein,Mycelium",Europe,Estonia,,,Tallinn,Sirli Rosenvald,,info@funki.ee,,
Future Cow Technologies,,Brazil based company working with recombinant milk proteins for the dairy industry,https://www.futurecow.com.br/,B2C,Dairy,Precision fermentation,Target molecule selection,Milk,Other,Whey,Latin America,Brazil,,,Sao Paulo,Leonardo Vieira and Rosana Goldbeck,,hello@futurecow.com.br,,
Fybraworks Foods,,Developing whole muscle meat through yeast fermentation,https://www.fybrawork.com/,B2C,Meat,Precision fermentation,"Ingredient optimization,Bioprocess design",Whole muscle meat/seafood,,Yeast,United States and Canada,United States,Minnesota,,Minnetonka,Dr. Chenfeng Lu,,clu@fybrawork.com,,
Grashka,,Slovenian-based company that produces plant-based deli meats. ,https://grashka.co/,B2C,Meat,"Plant-based,Traditional fermentation","Ingredient optimization,End product formulation and manufacturing","Other meat/seafood,Ingredients",,,Europe,Slovenia,,,,Martin Rojnik,,,,
Harmony Baby Nutrition ,,U.S.-based company that produces infant formula using precision fermentation to produce human breast milk proteins ,https://harmonybabynutrition.com,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,Other dairy,,,United States and Canada,United States,Massachusetts,,Boston,Wendel Afonso,,,,
Harvest Moon Foods,,First Canadian company that is harnessing the power of precision fermentation to transform agricultural waste into valuable dairy proteins. ,https://www.harvestmoon.bio/,B2C,Dairy,Precision fermentation,"Ingredient optimization,End product formulation and manufacturing",,,,United States and Canada,Canada,,,,,,,,
Helaina,,New York based company that produces infant milk formula components using human proteins derived from precision fermentation. ,https://www.myhelaina.com,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,Other dairy,,Yeast,United States and Canada,United States,New York ,,New York ,Laura Katz,,,,
HERLab,,HERlab aims to unlock the potential of unconventional expression systems for the food industry by massively speeding up screening and optimization processes. ,https://www.herlab.bio/,B2B,Ingredients and inputs,Precision fermentation,"Target molecule selection,Ingredient optimization",Ingredients,,,"Europe,Asia Pacific",United Kingdom,,Kent,Canterbury,Deimena Drąsutytė,,info@herlab.bio,,
Hooba Foods,,UK-based company that creates plant-based meat using mushrooms,https://www.hoobafoods.com/,B2C,Meat,Biomass fermentation,End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood","Beef/veal,Pork",Mushrooms,Europe,United Kingdom,,,Darlington,"Mike Botha, John Shepherd, and Jay Croslegh",,info@hoobafoods.com,,
Imagindairy,,Produces animal-free dairy products and uses AI technology with systems biology to increase the expression of milk proteins in microflora.,https://imagindairy.com/about/,"B2C,B2B","Dairy,Bioprocessing infrastructure and equipment",Precision fermentation,"End product formulation and manufacturing,Bioprocess design","Milk,Cheese",Other,,Africa/Middle East,Israel,,,Yokne'am Illit,"Eyal Afergan, Tamir Tuller",The Kitchen FoodTech Hub of Strauss Group Ltd.,eyal@imagindairy.com,,
Impossible Foods,,Maker of the Impossible Burger and Impossible Pork. Products use fermentation-derived heme,https://impossiblefoods.com/,B2C,Meat,"Plant-based,Precision fermentation",End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood",Beef/veal,Soy,"United States and Canada,Asia Pacific",United States,California,,Redwood City,Pat Brown,,,,
Infinite Roots,Mushlabs,Biotech company using fermentation and fungi to create sustainable alternative proteins.,https://www.infiniteroots.com/,B2C,"Meat,Ingredients and inputs",Biomass fermentation,Ingredient optimization,Ingredients,,Mycelium,"Europe,Asia Pacific",Germany,,,Berlin,Mazen Rizk,,hello@infiniteroots.com,,
Ingrediome,,Israel-based company producing an animal-free emulsifier for plant based meat formulations. ,https://www.ingrediome.com/,B2B,Ingredients and inputs,Precision fermentation,Ingredient optimization,Ingredients,,,Africa/Middle East,Israel,,,Tel Aviv-Yafo,,,,,
